% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 19:30
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.075                                             0.15704518892071598                               0.15704518892071598                               0.9999999999999986
1.075                                             0.1760788951571512                                0.1760788951571512                                0.9999999999999997
1.075                                             0.17607889559675638                               0.17607889559675638                               1.000000000000002
1.075                                             0.1906399934090212                                0.1906399934090212                                1.0000000000000022
1.075                                             0.19724434946088854                               0.19724434946088856                               1.0000000000000029
1.075                                             0.1972443508079                                   0.1972443508079                                   1.0000000000000004
1.075                                             0.19748788131654244                               0.19748788131654246                               1.0000000000000009
1.1                                               0.0844996738838863                                0.0844996738838863                                0.9999999999999989
1.1                                               0.08565573371985803                               0.08565573371985803                               0.9999999999999982
1.1                                               0.08565573421577401                               0.08565573421577401                               0.9999999999999999
1.1                                               0.08909460758006743                               0.08909460758006744                               1.0000000000000024
1.1                                               0.08909950402054732                               0.08909950402054734                               0.999999999999999
1.1                                               0.09440537615819106                               0.09440537615819106                               1.0000000000000002
1.1                                               0.09481090851829539                               0.09481090851829539                               1.000000000000001
1.1                                               0.0948109088887161                                0.0948109088887161                                0.9999999999999997
1.1                                               0.1004960518958517                                0.10049605189585172                               1.0000000000000027
1.1                                               0.10049648989928522                               0.10049648989928524                               1.0000000000000004
1.1                                               0.10279152337228448                               0.10279152337228449                               0.9999999999999991
1.1                                               0.10279188687069575                               0.10279188687069575                               0.9999999999999996
1.1                                               0.11196343965505716                               0.11196343965505717                               0.9999999999999993
1.1                                               0.11302417195154038                               0.11302417195154038                               0.9999999999999994
1.1                                               0.11302417217298477                               0.11302417217298479                               0.9999999999999987
1.1                                               0.12549190158987666                               0.12549190158987666                               1.0000000000000013
1.1                                               0.12549191985317407                               0.12549191985317407                               1.000000000000001
1.1                                               0.13170879494161306                               0.13170879494161306                               0.9999999999999993
1.1                                               0.14017372045178733                               0.14017372045178733                               0.9999999999999993
1.1                                               0.14017372095771494                               0.14017372095771494                               0.9999999999999991
1.1                                               0.15461201353421322                               0.15461201353421322                               1
1.1                                               0.1546131116087034                                0.1546131116087034                                1
1.1                                               0.1570451879492219                                0.1570451879492219                                1.0000000000000007
1.1                                               0.1570451889159905                                0.1570451889159905                                1.0000000000000013
1.1                                               0.1760788950673317                                0.1760788950673317                                0.9999999999999978
1.1                                               0.17607889567660912                               0.17607889567660914                               0.9999999999999999
