% Model:              PROYECTO.mph
% Version:            COMSOL 5.6.0.280
% Date:               Jul 27 2026, 21:01
% Table:              Tabla 9 - Valor propio 2
% n                                               lambda                                            Energía propia (eV)                               Probabilidad total (1)
1.28                                              0.07718711954869219                               0.07718711954869219                               1.0000000000000004
1.28                                              0.07718714214709976                               0.07718714214709976                               1.0000000000000009
1.28                                              0.08454895901932699                               0.08454895901932699                               1.0000000000000009
1.28                                              0.08570608574678378                               0.08570608574678379                               1.0000000000000007
1.3                                               0.06984780926148704                               0.06984780926148704                               1.0000000000000022
1.3                                               0.07766322116841093                               0.07766322116841093                               0.9999999999999988
1.3                                               0.0776632475676914                                0.07766324756769141                               0.9999999999999986
1.3                                               0.08454970516094737                               0.08454970516094737                               0.9999999999999991
1.3                                               0.08570809826287784                               0.08570809826287785                               0.9999999999999996
1.32                                              0.07035260689729479                               0.07035260689729479                               0.999999999999999
1.32                                              0.07813113160525378                               0.07813113160525378                               1.0000000000000004
1.32                                              0.07813117659578643                               0.07813117659578643                               0.9999999999999989
1.32                                              0.08455048759658428                               0.08455048759658428                               0.9999999999999993
1.32                                              0.08571032123886482                               0.08571032123886482                               1.0000000000000002
1.34                                              0.07084799216644756                               0.07084799216644756                               0.999999999999999
1.34                                              0.07859092143645383                               0.07859092143645383                               1.000000000000002
1.34                                              0.07859101550228584                               0.07859101550228584                               1.0000000000000022
1.34                                              0.08455130915534896                               0.08455130915534896                               1.0000000000000024
1.34                                              0.08571278793958996                               0.08571278793958996                               0.9999999999999997
1.3599999999999999                                0.07133410714459835                               0.07133410714459835                               1
1.3599999999999999                                0.07904265449209946                               0.07904265449209946                               0.9999999999999989
1.3599999999999999                                0.07904273562718278                               0.07904273562718278                               0.9999999999999994
1.3599999999999999                                0.08455217294226071                               0.08455217294226071                               0.9999999999999991
1.3599999999999999                                0.08571554076352979                               0.0857155407635298                                1.0000000000000002
1.38                                              0.07181114768052223                               0.07181114768052224                               0.9999999999999999
1.38                                              0.079486385973245                                 0.079486385973245                                 0.9999999999999992
1.38                                              0.07948640412655113                               0.07948640412655113                               1.0000000000000013
1.38                                              0.08455308245296202                               0.08455308245296202                               1.000000000000001
1.38                                              0.08571863217438161                               0.08571863217438162                               1.000000000000002
1.4                                               0.0722793796659815                                0.0722793796659815                                0.9999999999999981
1.4                                               0.07992215474037949                               0.07992215474037949                               0.9999999999999991
1.4                                               0.07992221893930493                               0.07992221893930493                               0.9999999999999993
1.4                                               0.08455404172805187                               0.08455404172805187                               0.9999999999999996
1.4                                               0.08572212867850583                               0.08572212867850583                               0.9999999999999991
1.42                                              0.07273890302329468                               0.07273890302329468                               0.9999999999999998
1.42                                              0.0803499839173581                                0.0803499839173581                                1.0000000000000009
1.42                                              0.08035005662056369                               0.08035005662056369                               1.0000000000000007
1.42                                              0.0845550549380862                                0.0845550549380862                                1.0000000000000022
1.42                                              0.08572611562152052                               0.08572611562152053                               0.9999999999999994
1.44                                              0.07318986316957651                               0.07318986316957651                               1.0000000000000009
1.44                                              0.0807698720641857                                0.08076987206418572                               0.9999999999999998
1.44                                              0.08076987347708786                               0.08076987347708786                               1.0000000000000018
1.44                                              0.0845561268226227                                0.08455612682262272                               0.9999999999999996
1.44                                              0.08573069958743001                               0.08573069958743003                               0.9999999999999991
1.46                                              0.0736325558819218                                0.0736325558819218                                1.0000000000000007
1.46                                              0.08118178569715788                               0.0811817856971579                                0.9999999999999992
1.46                                              0.08455726314220302                               0.08455726314220302                               0.9999999999999983
1.46                                              0.08573602796564932                               0.08573602796564932                               0.9999999999999992
1.46                                              0.08908896446658196                               0.08908896446658196                               1.0000000000000004
1.48                                              0.07406696548971961                               0.07406696548971962                               0.999999999999999
1.48                                              0.08158562848817                                  0.08158562848817                                  1.0000000000000009
1.48                                              0.08455846959796218                               0.08455846959796218                               1.000000000000002
1.48                                              0.08574228588949444                               0.08574228588949444                               1.0000000000000002
1.48                                              0.08909107106447396                               0.08909107106447396                               0.9999999999999996
